"","Dataset","Journal","Publication.year","GitHub","BioBucket","GitLab","GNU.Make","Docker","Singularity","VM.Virtual.Box","Preprint","Overleaf","TeXstudio","Rstudio","Dryad","FigShare","Zenodo","OSF","Raw.data.availability","How.is.data.available.","Code"
"1","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"2","Scielo_Filogen.csv","Acta Biológica Colombiana",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"3","Scielo_Filogen.csv","Biomédica",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"4","Scielo_Ecologia.csv","Actualidades Biológicas",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"5","Scielo_Filogen.csv","Biotecnología en el Sector Agropecuario y Agroindustrial",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"6","Scielo_Filogen.csv","Acta Biológica Colombiana",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"7","Scielo_Filogen.csv","Revista Facultad Nacional de Agronomía Medellín",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"8","Scielo_Filogen.csv","Biomédica",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"9","Scielo_Filogen.csv","Acta Biológica Colombiana",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"10","Scielo_Filogen.csv","Biomédica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"11","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"12","Scielo_Ecologia.csv","Colombia Forestal",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"13","Scielo_Ecologia.csv","Boletín de Investigaciones Marinas y Costeras - INVEMAR",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"14","Scielo_Filogen.csv","Infectio",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"15","Scielo_Ecologia.csv","Colombia Forestal",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"16","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"17","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"18","Scielo_Ecologia.csv","Acta Biológica Colombiana",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"19","Scielo_Ecologia.csv","Actualidades Biológicas",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"20","Scielo_Ecologia.csv","Acta Biológica Colombiana",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"21","Scielo_Filogen.csv","Acta Biológica Colombiana",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"22","Scielo_Filogen.csv","Universitas Scientiarum",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"23","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"24","Scielo_Ecologia.csv","Acta Biológica Colombiana",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"25","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"26","Scielo_Ecologia.csv","Biota colombiana",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"27","Scielo_Ecologia.csv","Biota colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Supplement","No"
"28","Scielo_Ecologia.csv","Revista colombiana de ciencia animal recia",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"29","Scielo_Ecologia.csv","Revista Colombiana de Entomología",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"30","Scielo_Filogen.csv","Ingeniería y Ciencia",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"31","Scielo_Filogen.csv","Revista Colombiana de Ciencias Pecuarias",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"32","Scielo_Filogen.csv","Caldasia",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"33","Scielo_Ecologia.csv","Boletín de Investigaciones Marinas y Costeras - INVEMAR",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"34","Scielo_Ecologia.csv","Caldasia",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Supplement","No"
"35","Scielo_Ecologia.csv","ORINOQUIA",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"36","Scielo_Ecologia.csv","Biota colombiana",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"37","Scielo_Ecologia.csv","Revista de Medicina Veterinaria",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"38","Scielo_Filogen.csv","Revista MVZ Córdoba",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"39","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"40","Scielo_Filogen.csv","Revista colombiana de Gastroenterología",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"41","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"42","Scielo_Filogen.csv","Revista U.D.C.A Actualidad &amp; Divulgación Científica",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"43","Scielo_Ecologia.csv","Revista U.D.C.A Actualidad &amp; Divulgación Científica",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"44","Scielo_Ecologia.csv","Universitas Scientiarum",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"45","Scielo_Ecologia.csv","Acta Biológica Colombiana",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"46","Scielo_Ecologia.csv","Revista MVZ Córdoba",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"47","Scielo_Filogen.csv","Agronomía Colombiana",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"48","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"49","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"50","Scielo_Filogen.csv","Biosalud",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"51","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"52","Scielo_Ecologia.csv","Actualidades Biológicas",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"53","Scielo_Ecologia.csv","Caldasia",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"54","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"55","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"56","Scielo_Ecologia.csv","Caldasia",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"57","Scielo_Ecologia.csv","Revista Colombiana de Entomología",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"58","Scielo_Filogen.csv","Revista de Medicina Veterinaria",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"59","Scielo_Filogen.csv","Biomédica",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"60","Scielo_Ecologia.csv","Boletín de Investigaciones Marinas y Costeras - INVEMAR",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"61","Scielo_Ecologia.csv","Biomédica",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Supplement","No"
"62","Scielo_Filogen.csv","Biomédica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"63","Scielo_Filogen.csv","Earth Sciences Research Journal",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In supplement","No"
"64","Scielo_Filogen.csv","Ciencia y Tecnología Agropecuaria",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"65","Scielo_Ecologia.csv","Revista Colombiana de Entomología",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"66","Scielo_Filogen.csv","Universitas Scientiarum",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"67","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"68","Scielo_Ecologia.csv","Acta Biológica Colombiana",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"69","Scielo_Filogen.csv","Biomédica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"70","Scielo_Filogen.csv","Revista U.D.C.A Actualidad &amp; Divulgación Científica",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"71","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"72","Scielo_Filogen.csv","Biomédica",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"73","Scielo_Ecologia.csv","Colombia Forestal",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"74","Scielo_Ecologia.csv","Acta Biológica Colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"75","Scielo_Filogen.csv","Colombia Forestal",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"76","Scielo_Filogen.csv","Biomédica",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"77","Scielo_Filogen.csv","Biomédica",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"78","Scielo_Filogen.csv","Revista Colombiana de Biotecnología",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"79","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"80","Scielo_Ecologia.csv","Caldasia",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"81","Scielo_Filogen.csv","Biomédica",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"82","Scielo_Ecologia.csv","Actualidades Biológicas",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"83","Scielo_Filogen.csv","Agronomía Colombiana",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"84","Scielo_Ecologia.csv","Caldasia",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text (Figure of a Table)","No"
"85","Scielo_Ecologia.csv","Biota colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","SiB","No"
"86","Scielo_Ecologia.csv","Caldasia",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text (Figure of a Table)","No"
"87","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text (Figure of a Table)","No"
"88","Scielo_Filogen.csv","Revista Facultad Nacional de Agronomía Medellín",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"89","Scielo_Filogen.csv","Revista Colombiana de Biotecnología",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
